,Desarrollo,Entrega,Dirección,Cantidad de unidades,Master Broker
1,DK 52,Inmediata,Calle 52 entre Av. 10 y 5ta Av.,45,DK
1,DK Exclusive,Septiembre-2021,Calle 52 entre 5ta Av. y 1ra Av.,23,DK
1,DKorner,Diciembre-2022,Calle 48 con Av 10,29,DK
1,Downtown Mayakoba,Pendiente,Ciudad Mayakoba,,MAYAKOBA
1,Emma &amp; Elisa,Junio-2022,Coco Beach,91,PLAYA REALTORS
1,Espacio Playa,Inmediata,Bosque Real,,
1,Gaviota Playa,Cambio Nombre,El Cielo,14,
1,Gino,Marzo-2021,Xcalacoco,79,SMART INVESTMENT
1,Habanero Living,Mayo-2021,Calle 36 entre Av.30 y Av.35,14,
1,Hacienda Escondida,Inmediata,El Cielo,36,ICOINQUI GROUP
1,Huaya 18,Inmediata,Calle 18 entre Av 35 y Av 40,11,PDC PROPERTIES
1,Humana Workcenter,Pendiente,Cruz De Los Servicios ,,LOTUS
1,Ibiza Residences,Inmediata,Av. 10 con calle 60,13,BROKER DANIEL VICTORIA
1,Icono Playa,Inmediata,Calle 6 entre Av. 25 y Av. 30,42,MIA DEVELOPMENTS
1,Inuk,Diciembre-2022,Zona Lunamar,36,MORA MKT
1,Ipana Siempre Playa,Verano-2021,Calle 38 con Av. 10,362,SIMCA
1,iPlaya,Inmediata,Calle 30 entre Av 25 y Av 30,,
1,Irina Condos,Pendiente,Av. 5ta bis entre 38 y 40,17,
1,It Beach,Junio-2021,Calle Albatros con Calle Pelícano,25,GMB
1,Ixuh,Diciembre-2021,5ta con Colosio,,
1,Jatsa Ha,Verano 2022,Calle 42 entre Av 15 y Av 20,18,TULUM TEAM
1,Joshua Condos,Pendiente,Av. 40 con Calle 30,10,DIRECTO
1,Kaab at the Park,Inmediata,Calle 3 entre Av 60 y Av 65,44,COLDWELL BANKER
1,Kaab South Beach,Marzo-2021,Av. 15 entre 1ra y Aviación,62,COLDWELL BANKER
1,Kalena Residencial,Pendiente,Xcalacoco,,REALTY EXECUTIVES
1,Kiin,Pendiente,Av. 25 entre Calles 40 y 42,20,KIIN
1,Kuxtal,Inmediata,5ta Av. con calle 40,26,GRUPO TSALACH
1,L Condos,Inmediata (Regimen Listo),Calle 34 entre Av.10 y Av. 20,28,IMMO INVESTMENT
1,La Ceiba,Pendiente,Ciudad Mayakobá,,MAYAKOBA
1,La Residencia (Reina Roja),Inmediata,Calle 38 esq. 5ta Av.,88,
1,Lagunas de Mayakoba,Inmediata,Ciudad Mayakobá,,MAYAKOBA
1,Levitat,Inmediata,Calle 32  entre Av. 35 y Av. 40,12,LEVITAT
1,Lil Town,Marzo-2021,Calle 32 entre 5ta Av. y Av. 10,36,MENESSE
1,Loft Playa,Agosto-2021,Ejido,20,GRUPO TSALACH
1,Lorena Ochoa Golf Residences,Inmediata,Corasol,,MAREAZUL
1,Lu'xia,Inmediata,Diagonal 75 Sur entre calles 13 y 15,40,LUXIA
1,Lunada,Inmediata,Calle 38 con Av. 15,70,SIMCA
1,Maji Condos,Inmediata,Calle 2 entre Av. 30 y Av. 35,34,
1,Makul Residencial,Pendiente,El Cielo,12,MAKUL
1,Mara ,Inmediata,Playacar Fase II,24,MARA
1,Maranta Playacar,Pendiente,Playacar Fase II,,
1,Mare,Pendiente,Av. 15 Y Calle 48,25,ATACAMA
1,Mareazul,Inmediata,Corasol,,MAREAZUL
1,Marila,Diciembre-2021,Calle 40 esq. Flamingos,82,SIMCA
1,Mayan Monk,Inmediata,Calle 52 con 5ta Av.,25,
1,Meliora,Inmediata,Calle 10 entre 20 y 25,50,iMEXICO
1,Midtown 256 II,Octubre-2021,Av. 25 entre Calle 4 y Calle 6,57,MENESSE
1,Midtown 360,Octubre-2023,Av. 25 entre Calle 4 y Calle 6,69,MENESSE
1,Miranda,Inmediata,Calle 38 con Flamingos,78,SIMCA
